"Step","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MIN","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MAX","Act. Rate (-1.0) - rollout/ep_rew_mean","Act. Rate (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate (-1.0) - rollout/ep_rew_mean__MAX","Act. Rate Pos (-1.0) - rollout/ep_rew_mean","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MAX"
"122","-1.22205650806427","-1.22205650806427","-1.22205650806427","-0.8461070656776428","-0.8461070656776428","-0.8461070656776428","-1.0365405082702637","-1.0365405082702637","-1.0365405082702637"
"123","-1.22205650806427","-1.22205650806427","-1.22205650806427","-0.8461070656776428","-0.8461070656776428","-0.8461070656776428","-1.0365405082702637","-1.0365405082702637","-1.0365405082702637"
"124","-1.22205650806427","-1.22205650806427","-1.22205650806427","-0.8461070656776428","-0.8461070656776428","-0.8461070656776428","-1.0365405082702637","-1.0365405082702637","-1.0365405082702637"
"125","-1.22205650806427","-1.22205650806427","-1.22205650806427","-0.8461070656776428","-0.8461070656776428","-0.8461070656776428","-1.0365405082702637","-1.0365405082702637","-1.0365405082702637"
"126","-1.22205650806427","-1.22205650806427","-1.22205650806427","-0.8461070656776428","-0.8461070656776428","-0.8461070656776428","-1.0365405082702637","-1.0365405082702637","-1.0365405082702637"
"127","-1.22205650806427","-1.22205650806427","-1.22205650806427","-0.8461070656776428","-0.8461070656776428","-0.8461070656776428","-1.0365405082702637","-1.0365405082702637","-1.0365405082702637"
"128","-0.7748792767524719","-0.7748792767524719","-0.7748792767524719","-0.6470266580581665","-0.6470266580581665","-0.6470266580581665","-0.7481154799461365","-0.7481154799461365","-0.7481154799461365"
"129","-0.7748792767524719","-0.7748792767524719","-0.7748792767524719","-0.6470266580581665","-0.6470266580581665","-0.6470266580581665","-0.7481154799461365","-0.7481154799461365","-0.7481154799461365"
"130","-0.7748792767524719","-0.7748792767524719","-0.7748792767524719","-0.6470266580581665","-0.6470266580581665","-0.6470266580581665","-0.7481154799461365","-0.7481154799461365","-0.7481154799461365"
"131","-0.7748792767524719","-0.7748792767524719","-0.7748792767524719","-0.6470266580581665","-0.6470266580581665","-0.6470266580581665","-0.7481154799461365","-0.7481154799461365","-0.7481154799461365"
"132","-0.7748792767524719","-0.7748792767524719","-0.7748792767524719","-0.6470266580581665","-0.6470266580581665","-0.6470266580581665","-0.7481154799461365","-0.7481154799461365","-0.7481154799461365"
"133","-0.7748792767524719","-0.7748792767524719","-0.7748792767524719","-0.6470266580581665","-0.6470266580581665","-0.6470266580581665","-0.7481154799461365","-0.7481154799461365","-0.7481154799461365"
"134","-0.7748792767524719","-0.7748792767524719","-0.7748792767524719","-0.6470266580581665","-0.6470266580581665","-0.6470266580581665","-0.7481154799461365","-0.7481154799461365","-0.7481154799461365"
"135","-0.7748792767524719","-0.7748792767524719","-0.7748792767524719","-0.6470266580581665","-0.6470266580581665","-0.6470266580581665","-0.7481154799461365","-0.7481154799461365","-0.7481154799461365"
"136","-0.7748792767524719","-0.7748792767524719","-0.7748792767524719","-0.6470266580581665","-0.6470266580581665","-0.6470266580581665","-0.7481154799461365","-0.7481154799461365","-0.7481154799461365"
"137","-0.7748792767524719","-0.7748792767524719","-0.7748792767524719","-0.6470266580581665","-0.6470266580581665","-0.6470266580581665","-0.7481154799461365","-0.7481154799461365","-0.7481154799461365"
